execution_id,job_id,job_name,job_type,scheduled_hour,day_of_week,start_delay_minutes,previous_success_count,previous_failure_count,average_runtime_minutes,expected_data_volume,cpu_usage_percent,memory_usage_percent,dependency_status,job_status
70,JOB005,BACKUP_JOB,Backup,3,Monday,0,22,9,109,470461,77,43,Ready,Failed
71,JOB013,LOG_CLEANUP,Reporting,21,Tuesday,14,2,4,57,83644,34,51,Ready,Success
72,JOB018,VENDOR_DATA_SYNC,Data Processing,17,Saturday,11,24,7,32,488688,92,50,Ready,Failed
73,JOB006,FINANCE_REPORT,Data Transfer,11,Saturday,4,7,8,30,123507,22,63,Ready,Failed
74,JOB003,INVENTORY_UPDATE,Reporting,1,Friday,22,16,8,51,447416,24,38,Ready,Success
75,JOB020,ARCHIVE_JOB,Synchronization,9,Friday,23,28,0,12,326071,61,43,Ready,Success
76,JOB020,ARCHIVE_JOB,Data Processing,3,Monday,17,17,6,61,53050,34,31,Ready,Success
77,JOB018,VENDOR_DATA_SYNC,Data Transfer,13,Tuesday,19,17,7,59,35232,22,69,Ready,Success
78,JOB017,INVOICE_PROCESSING,Data Transfer,15,Saturday,1,25,9,83,485635,54,44,Delayed,Failed
79,JOB019,SYSTEM_MONITORING,Synchronization,14,Sunday,3,24,2,5,343800,26,70,Delayed,Success
80,JOB015,DAILY_ANALYTICS,Data Processing,7,Thursday,14,11,5,44,327165,43,33,Ready,Success
81,JOB012,DATABASE_BACKUP,Backup,13,Thursday,5,24,2,27,306058,50,91,Ready,Success
82,JOB011,EMPLOYEE_DATA_SYNC,Data Transfer,22,Tuesday,21,24,8,104,327000,23,48,Ready,Success
83,JOB010,ORDER_PROCESSING,Reporting,7,Wednesday,11,0,2,58,112290,22,44,Delayed,Success
84,JOB008,SALES_REPORT,Backup,20,Monday,28,22,1,46,47798,28,78,Not Ready,Success
85,JOB003,INVENTORY_UPDATE,Data Transfer,15,Tuesday,17,11,8,84,180858,87,76,Ready,Failed
86,JOB001,DAILY_SALES,Data Transfer,12,Thursday,26,10,7,54,39382,79,31,Ready,Success
87,JOB020,ARCHIVE_JOB,Synchronization,17,Friday,19,12,7,8,24473,30,69,Delayed,Success
88,JOB006,FINANCE_REPORT,Data Processing,14,Thursday,3,2,1,12,164993,55,31,Delayed,Success
89,JOB009,STOCK_UPDATE,Data Processing,20,Friday,29,26,5,40,384595,91,67,Ready,Failed
90,JOB017,INVOICE_PROCESSING,Synchronization,23,Monday,0,24,4,14,236835,21,69,Ready,Success
91,JOB017,INVOICE_PROCESSING,Synchronization,12,Friday,14,7,1,120,424211,69,38,Ready,Success
92,JOB011,EMPLOYEE_DATA_SYNC,Backup,8,Tuesday,29,2,4,34,414666,22,72,Ready,Success
93,JOB003,INVENTORY_UPDATE,Backup,14,Friday,17,16,3,104,493330,86,54,Ready,Success
94,JOB020,ARCHIVE_JOB,Synchronization,12,Wednesday,13,24,8,20,443518,81,46,Ready,Failed
95,JOB015,DAILY_ANALYTICS,Backup,0,Tuesday,2,12,0,34,467889,95,86,Ready,Failed
96,JOB013,LOG_CLEANUP,Reporting,6,Monday,28,9,5,68,16765,33,70,Delayed,Failed
97,JOB013,LOG_CLEANUP,Synchronization,8,Tuesday,14,16,6,112,355478,42,38,Delayed,Success
98,JOB009,STOCK_UPDATE,Data Processing,23,Wednesday,26,2,5,78,206878,35,62,Ready,Success
99,JOB006,FINANCE_REPORT,Data Processing,0,Monday,4,12,4,15,67314,37,54,Ready,Success
100,JOB018,VENDOR_DATA_SYNC,Synchronization,11,Thursday,26,21,3,38,440606,32,34,Delayed,Failed
101,JOB017,INVOICE_PROCESSING,Data Processing,7,Wednesday,23,5,4,84,152705,75,35,Ready,Success
102,JOB010,ORDER_PROCESSING,Data Transfer,23,Monday,30,13,8,59,316264,64,88,Ready,Success
103,JOB002,MONTHLY_PAYROLL,Reporting,10,Sunday,21,26,4,87,303579,59,90,Ready,Failed
104,JOB001,DAILY_SALES,Data Transfer,18,Friday,2,9,9,112,80843,50,60,Delayed,Failed
105,JOB014,MASTER_DATA_SYNC,Synchronization,16,Tuesday,21,19,7,8,103900,51,73,Ready,Failed
106,JOB008,SALES_REPORT,Data Processing,7,Monday,6,15,6,53,8357,20,84,Ready,Success
107,JOB018,VENDOR_DATA_SYNC,Backup,2,Tuesday,5,17,3,48,69089,54,49,Ready,Success
108,JOB009,STOCK_UPDATE,Data Transfer,2,Friday,25,12,9,35,29820,55,38,Ready,Failed
109,JOB015,DAILY_ANALYTICS,Data Transfer,0,Monday,21,9,4,52,283631,85,65,Ready,Success
110,JOB010,ORDER_PROCESSING,Data Processing,4,Thursday,0,5,6,103,80507,48,79,Ready,Success
111,JOB006,FINANCE_REPORT,Backup,9,Sunday,18,9,5,102,285332,62,43,Ready,Failed
112,JOB008,SALES_REPORT,Synchronization,6,Sunday,6,4,2,30,341560,48,55,Ready,Success
113,JOB010,ORDER_PROCESSING,Data Processing,8,Wednesday,3,28,9,107,32310,62,68,Ready,Success
114,JOB019,SYSTEM_MONITORING,Reporting,6,Monday,11,5,2,74,398780,38,78,Delayed,Failed
115,JOB011,EMPLOYEE_DATA_SYNC,Reporting,8,Friday,19,6,1,101,236840,83,33,Delayed,Failed
116,JOB013,LOG_CLEANUP,Synchronization,7,Monday,22,10,2,115,482851,50,58,Ready,Failed
117,JOB010,ORDER_PROCESSING,Synchronization,11,Tuesday,24,15,9,95,357802,38,27,Ready,Success
118,JOB015,DAILY_ANALYTICS,Reporting,1,Saturday,29,24,0,16,283206,48,67,Ready,Success
119,JOB005,BACKUP_JOB,Backup,0,Monday,26,11,8,49,80671,92,88,Ready,Failed
120,JOB014,MASTER_DATA_SYNC,Synchronization,15,Sunday,28,11,1,12,406631,26,60,Delayed,Success
121,JOB015,DAILY_ANALYTICS,Reporting,22,Sunday,28,29,2,13,332385,77,54,Ready,Success
122,JOB009,STOCK_UPDATE,Backup,22,Sunday,30,22,4,5,495878,95,83,Not Ready,Failed
123,JOB010,ORDER_PROCESSING,Backup,23,Thursday,17,19,9,9,272188,79,72,Delayed,Success
124,JOB008,SALES_REPORT,Synchronization,4,Monday,8,25,3,75,169022,70,73,Delayed,Failed
125,JOB012,DATABASE_BACKUP,Data Transfer,2,Wednesday,18,4,4,86,152421,69,56,Delayed,Failed
126,JOB013,LOG_CLEANUP,Backup,11,Monday,21,15,5,58,432184,40,71,Ready,Success
127,JOB007,CUSTOMER_REPORT,Synchronization,7,Saturday,3,28,4,108,497149,28,37,Ready,Failed
128,JOB004,DATA_TRANSFER,Backup,21,Sunday,0,5,9,28,258275,53,40,Delayed,Failed
129,JOB017,INVOICE_PROCESSING,Data Processing,2,Tuesday,8,28,0,30,416933,53,61,Ready,Success
130,JOB002,MONTHLY_PAYROLL,Backup,0,Sunday,26,8,5,14,63263,66,84,Ready,Failed
131,JOB001,DAILY_SALES,Data Transfer,2,Monday,14,4,8,65,57917,43,27,Ready,Failed
132,JOB011,EMPLOYEE_DATA_SYNC,Backup,4,Thursday,21,20,2,44,432587,47,58,Ready,Failed
133,JOB002,MONTHLY_PAYROLL,Data Transfer,14,Friday,7,22,1,48,202082,65,80,Ready,Success
134,JOB011,EMPLOYEE_DATA_SYNC,Reporting,13,Monday,14,15,5,116,9647,70,79,Ready,Success
135,JOB008,SALES_REPORT,Data Transfer,2,Monday,14,17,2,16,408406,25,88,Ready,Success
136,JOB013,LOG_CLEANUP,Backup,0,Wednesday,17,18,3,26,106479,82,78,Ready,Success
137,JOB006,FINANCE_REPORT,Reporting,4,Thursday,6,11,5,31,474421,72,29,Ready,Failed
138,JOB009,STOCK_UPDATE,Reporting,22,Saturday,21,1,5,71,99533,83,82,Ready,Failed
139,JOB018,VENDOR_DATA_SYNC,Reporting,13,Friday,17,25,1,86,286335,71,89,Delayed,Failed
140,JOB001,DAILY_SALES,Reporting,6,Sunday,15,9,2,73,259837,79,26,Ready,Failed
141,JOB013,LOG_CLEANUP,Backup,8,Tuesday,1,11,8,18,391670,60,54,Ready,Success
142,JOB004,DATA_TRANSFER,Synchronization,14,Monday,3,13,1,29,99259,30,61,Ready,Success
143,JOB004,DATA_TRANSFER,Data Transfer,14,Saturday,19,17,2,56,383426,23,48,Ready,Success
144,JOB015,DAILY_ANALYTICS,Synchronization,9,Friday,15,18,8,99,432003,33,46,Not Ready,Failed
145,JOB018,VENDOR_DATA_SYNC,Synchronization,12,Tuesday,2,5,3,89,102781,32,57,Ready,Success
146,JOB014,MASTER_DATA_SYNC,Data Transfer,18,Saturday,23,4,0,116,184582,34,21,Ready,Success
147,JOB017,INVOICE_PROCESSING,Data Processing,6,Thursday,29,26,1,63,81840,27,44,Ready,Failed
148,JOB018,VENDOR_DATA_SYNC,Data Transfer,16,Thursday,22,15,2,42,214751,30,85,Ready,Success
149,JOB011,EMPLOYEE_DATA_SYNC,Data Processing,19,Friday,1,13,8,116,371430,42,57,Ready,Success
150,JOB013,LOG_CLEANUP,Data Transfer,3,Sunday,2,12,8,24,325029,26,78,Ready,Failed
151,JOB016,WAREHOUSE_UPDATE,Synchronization,4,Tuesday,25,20,5,82,166206,88,26,Ready,Success
152,JOB015,DAILY_ANALYTICS,Synchronization,22,Thursday,24,1,5,24,156972,51,68,Ready,Success
153,JOB011,EMPLOYEE_DATA_SYNC,Data Transfer,6,Friday,28,1,2,60,328846,63,87,Ready,Success
154,JOB011,EMPLOYEE_DATA_SYNC,Reporting,12,Thursday,4,11,4,105,217656,22,60,Delayed,Failed
155,JOB004,DATA_TRANSFER,Data Processing,14,Thursday,1,0,3,114,58924,63,93,Ready,Success
156,JOB015,DAILY_ANALYTICS,Reporting,10,Saturday,18,18,9,34,204958,88,70,Delayed,Failed
157,JOB010,ORDER_PROCESSING,Data Processing,3,Saturday,23,27,9,111,227118,70,43,Ready,Success
158,JOB013,LOG_CLEANUP,Synchronization,12,Thursday,19,27,8,45,170535,80,55,Delayed,Failed
159,JOB016,WAREHOUSE_UPDATE,Data Processing,6,Wednesday,29,26,8,88,125679,70,29,Ready,Success
160,JOB008,SALES_REPORT,Synchronization,18,Saturday,1,15,0,75,228142,52,40,Ready,Success
161,JOB011,EMPLOYEE_DATA_SYNC,Data Transfer,21,Tuesday,1,29,7,67,45587,39,46,Ready,Success
162,JOB002,MONTHLY_PAYROLL,Data Transfer,1,Friday,21,6,8,73,323341,49,74,Ready,Failed
163,JOB011,EMPLOYEE_DATA_SYNC,Backup,9,Friday,23,26,4,99,451420,63,24,Ready,Failed
164,JOB009,STOCK_UPDATE,Backup,12,Sunday,22,20,3,33,419964,48,78,Ready,Success
165,JOB015,DAILY_ANALYTICS,Data Transfer,20,Tuesday,19,6,9,83,435947,40,55,Ready,Success
166,JOB020,ARCHIVE_JOB,Backup,5,Tuesday,17,15,3,93,67463,72,93,Ready,Success
167,JOB013,LOG_CLEANUP,Data Transfer,11,Tuesday,24,24,1,81,246558,30,53,Ready,Failed
168,JOB015,DAILY_ANALYTICS,Reporting,11,Sunday,19,5,8,48,339780,29,71,Ready,Failed
169,JOB018,VENDOR_DATA_SYNC,Synchronization,19,Tuesday,24,17,4,92,341923,54,25,Ready,Failed
170,JOB019,SYSTEM_MONITORING,Data Transfer,10,Monday,20,0,2,83,424994,45,33,Ready,Failed
171,JOB006,FINANCE_REPORT,Backup,22,Sunday,13,0,5,92,173637,63,78,Ready,Success
172,JOB018,VENDOR_DATA_SYNC,Backup,6,Friday,27,25,8,94,209706,23,76,Not Ready,Failed
173,JOB019,SYSTEM_MONITORING,Backup,0,Monday,14,24,8,87,119788,93,56,Ready,Success
174,JOB012,DATABASE_BACKUP,Reporting,0,Sunday,11,13,4,61,316390,76,77,Delayed,Success
175,JOB012,DATABASE_BACKUP,Reporting,19,Thursday,10,5,7,28,179258,58,51,Ready,Failed
176,JOB011,EMPLOYEE_DATA_SYNC,Reporting,12,Thursday,10,5,3,23,384815,60,39,Ready,Success
177,JOB012,DATABASE_BACKUP,Data Transfer,8,Friday,29,3,4,110,393574,86,80,Ready,Failed
178,JOB001,DAILY_SALES,Synchronization,2,Thursday,6,11,6,21,179724,55,76,Ready,Success
179,JOB007,CUSTOMER_REPORT,Reporting,6,Tuesday,11,29,6,116,47558,23,71,Delayed,Failed
180,JOB016,WAREHOUSE_UPDATE,Backup,5,Sunday,15,17,6,73,32244,93,67,Delayed,Success
181,JOB012,DATABASE_BACKUP,Backup,7,Monday,4,9,7,65,157649,32,30,Ready,Success
182,JOB011,EMPLOYEE_DATA_SYNC,Reporting,8,Tuesday,30,2,4,8,480109,89,49,Ready,Failed
183,JOB012,DATABASE_BACKUP,Synchronization,4,Thursday,1,2,0,26,254504,26,79,Ready,Failed
184,JOB003,INVENTORY_UPDATE,Synchronization,0,Saturday,21,7,8,78,460165,47,37,Ready,Success
185,JOB001,DAILY_SALES,Synchronization,18,Monday,15,21,8,89,30386,78,93,Delayed,Failed
186,JOB013,LOG_CLEANUP,Backup,9,Tuesday,22,22,6,93,457883,56,66,Ready,Failed
187,JOB002,MONTHLY_PAYROLL,Data Transfer,11,Sunday,29,24,5,10,23312,34,31,Ready,Success
188,JOB010,ORDER_PROCESSING,Data Processing,23,Friday,14,0,4,34,478150,49,69,Not Ready,Failed
189,JOB012,DATABASE_BACKUP,Reporting,14,Tuesday,10,17,4,97,371127,93,59,Ready,Failed
190,JOB016,WAREHOUSE_UPDATE,Reporting,21,Saturday,28,14,2,79,255734,31,83,Not Ready,Failed
191,JOB020,ARCHIVE_JOB,Data Processing,23,Thursday,5,24,9,15,261996,49,38,Ready,Success
192,JOB010,ORDER_PROCESSING,Data Processing,8,Monday,12,20,0,52,9718,20,46,Ready,Success
193,JOB017,INVOICE_PROCESSING,Backup,19,Friday,29,19,5,50,66536,55,71,Delayed,Failed
194,JOB018,VENDOR_DATA_SYNC,Backup,16,Monday,18,16,7,31,369910,40,26,Ready,Success
195,JOB008,SALES_REPORT,Reporting,16,Friday,9,24,1,23,232907,51,82,Delayed,Success
196,JOB004,DATA_TRANSFER,Data Transfer,19,Sunday,23,10,7,90,262051,82,74,Ready,Failed
197,JOB008,SALES_REPORT,Reporting,11,Monday,18,12,7,96,149527,32,95,Not Ready,Failed
198,JOB002,MONTHLY_PAYROLL,Reporting,6,Thursday,29,24,9,63,255645,56,50,Ready,Success
199,JOB001,DAILY_SALES,Reporting,1,Sunday,4,19,7,72,48078,63,30,Not Ready,Failed
200,JOB014,MASTER_DATA_SYNC,Backup,2,Sunday,24,24,9,105,278686,40,36,Delayed,Failed
201,JOB004,DATA_TRANSFER,Reporting,16,Friday,26,9,2,58,380719,37,85,Ready,Failed
202,JOB018,VENDOR_DATA_SYNC,Data Transfer,4,Wednesday,20,12,9,87,122204,65,86,Ready,Failed
203,JOB014,MASTER_DATA_SYNC,Data Transfer,16,Monday,30,16,7,21,459453,66,51,Ready,Success
204,JOB005,BACKUP_JOB,Data Transfer,23,Monday,6,20,3,54,392706,45,43,Ready,Success
205,JOB001,DAILY_SALES,Reporting,16,Tuesday,10,0,2,44,405986,24,32,Not Ready,Success
206,JOB003,INVENTORY_UPDATE,Data Processing,16,Friday,13,19,8,104,385737,24,41,Ready,Success
207,JOB016,WAREHOUSE_UPDATE,Reporting,1,Saturday,22,15,7,91,101299,50,38,Ready,Failed
208,JOB004,DATA_TRANSFER,Data Processing,1,Wednesday,20,15,9,118,397793,47,72,Delayed,Failed
209,JOB014,MASTER_DATA_SYNC,Reporting,21,Thursday,15,27,1,96,376355,94,58,Ready,Success
210,JOB016,WAREHOUSE_UPDATE,Data Transfer,22,Tuesday,17,20,7,15,121897,84,40,Ready,Success
211,JOB007,CUSTOMER_REPORT,Data Processing,4,Wednesday,20,29,2,18,166549,32,35,Ready,Success
212,JOB011,EMPLOYEE_DATA_SYNC,Data Transfer,0,Friday,22,26,9,17,15322,37,26,Ready,Success
213,JOB003,INVENTORY_UPDATE,Reporting,0,Wednesday,22,2,5,92,170957,43,45,Ready,Success
214,JOB015,DAILY_ANALYTICS,Backup,18,Sunday,3,1,4,84,58813,48,95,Delayed,Failed
215,JOB008,SALES_REPORT,Data Processing,1,Monday,0,5,7,32,52442,47,50,Ready,Success
216,JOB020,ARCHIVE_JOB,Reporting,20,Sunday,21,10,8,98,402744,64,87,Delayed,Failed
217,JOB013,LOG_CLEANUP,Data Transfer,11,Monday,28,28,6,48,467722,30,59,Ready,Success
218,JOB018,VENDOR_DATA_SYNC,Synchronization,5,Tuesday,14,2,5,109,149211,70,46,Ready,Success
219,JOB002,MONTHLY_PAYROLL,Backup,22,Friday,13,25,5,67,229472,78,28,Ready,Success
220,JOB001,DAILY_SALES,Synchronization,3,Friday,18,0,0,107,372241,32,95,Ready,Success
221,JOB017,INVOICE_PROCESSING,Synchronization,22,Wednesday,26,10,4,110,76447,66,35,Ready,Failed
222,JOB017,INVOICE_PROCESSING,Backup,10,Tuesday,4,12,7,65,8212,62,91,Delayed,Failed
223,JOB009,STOCK_UPDATE,Data Transfer,23,Friday,3,4,5,95,298011,43,32,Ready,Success
224,JOB019,SYSTEM_MONITORING,Synchronization,16,Saturday,30,17,0,21,327806,67,79,Ready,Success
225,JOB007,CUSTOMER_REPORT,Synchronization,5,Saturday,12,14,4,54,99716,82,79,Ready,Failed
226,JOB012,DATABASE_BACKUP,Reporting,23,Sunday,17,17,4,30,225796,36,28,Ready,Success
227,JOB011,EMPLOYEE_DATA_SYNC,Backup,4,Monday,11,14,2,11,310816,88,72,Ready,Success
228,JOB012,DATABASE_BACKUP,Data Processing,19,Wednesday,30,19,7,103,82682,73,51,Ready,Success
229,JOB015,DAILY_ANALYTICS,Synchronization,1,Thursday,22,19,8,83,61624,33,74,Delayed,Success
230,JOB007,CUSTOMER_REPORT,Reporting,5,Monday,29,19,5,20,397209,34,44,Ready,Success
231,JOB013,LOG_CLEANUP,Backup,21,Tuesday,20,6,5,89,12654,92,60,Ready,Success
232,JOB014,MASTER_DATA_SYNC,Data Processing,10,Friday,14,16,1,21,1246,29,45,Delayed,Success
233,JOB011,EMPLOYEE_DATA_SYNC,Data Processing,15,Monday,29,28,9,113,319858,41,48,Ready,Failed
234,JOB017,INVOICE_PROCESSING,Synchronization,15,Thursday,22,7,1,94,307882,32,55,Ready,Failed
235,JOB015,DAILY_ANALYTICS,Data Transfer,0,Thursday,8,27,5,39,171817,84,22,Ready,Failed
236,JOB008,SALES_REPORT,Backup,8,Saturday,3,12,7,88,450874,33,78,Ready,Failed
237,JOB002,MONTHLY_PAYROLL,Reporting,5,Tuesday,4,25,1,88,484739,63,53,Not Ready,Failed
238,JOB015,DAILY_ANALYTICS,Backup,15,Monday,8,15,8,27,319391,58,25,Ready,Success
239,JOB015,DAILY_ANALYTICS,Reporting,2,Wednesday,12,24,8,73,227843,54,50,Ready,Success
240,JOB013,LOG_CLEANUP,Synchronization,19,Monday,9,9,3,13,211264,84,51,Ready,Success
241,JOB005,BACKUP_JOB,Backup,3,Saturday,26,28,3,91,147250,46,61,Ready,Success
242,JOB015,DAILY_ANALYTICS,Synchronization,18,Sunday,15,13,3,22,119055,64,76,Delayed,Failed
243,JOB003,INVENTORY_UPDATE,Data Transfer,2,Thursday,29,5,4,97,292050,76,92,Ready,Failed
244,JOB016,WAREHOUSE_UPDATE,Reporting,18,Tuesday,12,19,7,79,134761,41,65,Ready,Success
245,JOB010,ORDER_PROCESSING,Data Transfer,19,Tuesday,3,21,1,111,165427,53,75,Ready,Failed
246,JOB010,ORDER_PROCESSING,Reporting,6,Wednesday,20,25,4,52,330148,28,69,Ready,Success
247,JOB016,WAREHOUSE_UPDATE,Data Transfer,19,Tuesday,12,6,1,76,66768,69,49,Delayed,Failed
248,JOB017,INVOICE_PROCESSING,Backup,8,Saturday,20,5,7,95,171725,73,55,Not Ready,Failed
249,JOB008,SALES_REPORT,Reporting,0,Saturday,7,26,0,70,123699,77,45,Ready,Success
250,JOB018,VENDOR_DATA_SYNC,Synchronization,7,Saturday,30,16,6,27,129881,81,69,Delayed,Failed
